WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010,WAP011,WAP012,WAP013,WAP014,x,y
-109.27203526671272,-110.93742460950543,-104.01760076590325,-106.02886345829542,-103.63086370929732,-96.2554181207434,-89.17031706574728,-88.108012581012,-91.34832454997654,-98.19959865030428,-103.37909926338135,-102.97060824003032,-105.77627664586369,-111.15219973759011,4.7,2.1
-106.85522791191474,-109.16855673407895,-107.49130135118372,-102.54224885265533,-101.0724598336024,-98.36685800480473,-89.713645314221,-86.81332605122834,-93.16058934021707,-97.79208745814496,-104.0555469258108,-103.87442163635545,-106.27596325509309,-109.46931307381345,4.7,2.1
-110.15528105464449,-110.19496920758337,-106.97162970983338,-100.17269511077006,-103.69999029124695,-97.16260871301652,-85.34329729130557,-88.47084728796801,-93.0772405194021,-98.40539402260633,-101.0512313893953,-104.26984869989319,-109.37901677398176,-108.7306817181501,4.7,2.1
-107.49143402299109,-111.46038992730786,-107.10579310439456,-102.21046216030713,-99.06610249410458,-98.6584569900221,-87.77919779667883,-88.9965852809307,-92.21130313183619,-100.53930644230853,-103.05810921185335,-105.0282885671238,-108.85253888206572,-107.30096102279217,4.7,2.1
-105.816504135949,-109.12833434201946,-105.75564978725954,-104.17479287359838,-100.10112242787328,-97.8895436053155,-86.43351344149883,-89.90746737150742,-90.54066844391745,-99.54741310061715,-105.75875433405123,-105.82453911244379,-108.56162454837082,-106.18452601779741,4.7,2.1
-110.08790631008426,-110.3106871647033,-105.46547785870082,-105.42474277735408,-103.6108737839584,-99.86240809901719,-88.80337634632997,-89.45391758082197,-93.71177958541128,-102.10404105713398,-99.9725833475177,-103.7557209399134,-110.32497254247875,-108.58275656072337,4.7,2.1
-111.38472118451682,-109.68588553155271,-108.54904607166284,-105.2422792616776,-99.14768236203834,-97.87452636741102,-88.81681183825172,-89.01177886704002,-94.67795690401115,-97.5287724357538,-101.09147709447404,-105.8107193421333,-109.76542027458095,-109.42938063523692,4.7,2.1
-108.70190031647056,-109.20090059751018,-107.21551855231817,-101.8144018378258,-100.72172641280078,-97.77932095824887,-86.78262889267317,-91.15314415824326,-95.00174951248324,-98.54877705863105,-101.54105737909843,-106.13776804310105,-107.08928825554845,-110.40368871186845,4.7,2.1
-109.3097563239335,-107.10125874271154,-104.83594629495377,-105.18241074633505,-103.02662067783922,-98.55726022718571,-82.71732424855068,-85.66650599590315,-93.4090152927396,-97.72549581204576,-101.87781645918707,-103.92673693246212,-104.47522701627808,-107.53323966515138,4.7,2.1
-111.9010661872793,-108.88671607809965,-106.77125416500265,-102.46367467696564,-101.46274693201389,-96.86218466869425,-90.04195937812221,-87.03563506140667,-94.79534678895412,-97.98665575782137,-101.71838214447993,-104.74530665721898,-107.5553709675663,-107.41089318265644,4.7,2.1
-109.60297931076764,-109.71316060894537,-108.36177536071028,-109.88345540812136,-99.13665554532044,-96.31781823295924,-88.35199240417622,-88.65095416850761,-88.31006318379599,-96.5436138763788,-98.90894668403185,-101.02535287065547,-105.59395089495118,-109.90929501314636,4.7,2.1
-111.48508557184442,-106.19172671997025,-109.80182381503761,-103.41822300490817,-102.94184413250831,-96.58301294097944,-83.96715856262847,-89.32869950138907,-92.11026988902685,-95.76093918021054,-103.5517452578023,-107.30537106620918,-105.5825083286448,-107.27910552630037,4.7,2.1
-112.69139208259708,-107.50290623911859,-106.75397862664241,-103.12192349022776,-98.63772933312876,-96.75932956511548,-83.31058151688744,-87.08366532880652,-90.59289986561454,-97.51558346086077,-100.85270339646351,-104.25805972585594,-108.88275569170017,-109.55408535022366,4.7,2.1
-110.83837662022924,-107.96948970037903,-107.4944054671767,-103.1930297575422,-100.41876103214469,-94.2490057593639,-83.18853820281919,-86.54684592341472,-91.63926317078537,-97.57840042704831,-101.3435897541761,-106.0018788242067,-106.62967463022615,-103.51245148621823,4.7,2.1
-110.41157585082942,-107.01494817345001,-104.75899555474042,-103.79027229663534,-98.83332698798405,-97.3014566548049,-83.64032297668822,-89.81681688297338,-87.65222937812898,-98.5889747174949,-103.10263056974739,-106.05908647099311,-106.30012718226124,-107.74530786068324,4.7,2.1
